sothutu,name,brand,pricenew,sale,priceold
116,Nước Hoa Nữ Carolina Herrera Very Good Girl EDP 30ml,Very Good Girl Eau De Parfum,1980000,10%,2200000
117,Nước Hoa Nam TOMMY Cologne EDT 30ml,Cologne Spray,899000,34%,1360000
118,Nước Hoa Nữ Marc Jacobs Daisy Dream EDT 30ml,Eau De Toilette,989000,14%,1150000
119,Nước Hoa Nữ Issey Miyake L'Eau D'Issey EDT 50ml,Eau De Toilette,2034000,10%,2260000
120,Nước Hoa Nam Issey Miyake L'Eau D'Issey Eau & Cèdre 100ml,Pour Homme Eau De Toilette Intense,2583000,10%,2870000
121,Nước Hoa Nữ Issey Miyake A Drop D'Issey EDP 90ml,Eau De Parfum,2925000,10%,3250000
122,Nước Hoa Nam Tommy Impact EDT 50ml,Impact Intense Eau De Toilette,2130000,0%,2130000
123,Nước Hoa Nam Calvin Klein Defy For Men EDT 30ml,Eau De Toilette,679000,47%,1290000
124,Nước Hoa Nữ Laura Anne Dynamic For Her 50ml (Xanh),Eau de Parfum,198000,34%,299000
125,Nước Hoa Nữ Issey Miyake A Drop D'Issey EDP Fraiche 30ml,Eau De Parfum Fraiche,1521000,10%,1690000
126,Nước Hoa Nam Nữ Calvin Klein One EDT 50ml,Eau De Toilette,813000,45%,1470000
127,Nước Hoa Nữ Tommy Girl Cologne EDT 30ml,Tommy Girl Cologne Eau de Toilette Spray,839000,38%,1360000
128,Nước Hoa Nữ Marc Jacobs Daisy Love Eau So Sweet EDT 30ml,Eau De Toilette,1750000,10%,1940000
129,"Nước Hoa Nữ Verites Starstruck Ngọt Ngào, Quyến Rũ 50ml",,231000,20%,289000
130,"Nước Hoa Nữ Verites Midnight Bloom Quyến Rũ, Thanh Lịch 50ml",,231000,20%,289000
131,[HSD 02/2025] Nước Hoa Nam De Memoria EDP #12 Bagan 30ml,Eau De Parfum,333000,0%,333000
132,Nước Hoa Nam Nữ De Memoria EDP #11 Tai O 30ml,Eau De Parfum,354000,36%,550000
133,Nước Hoa Nam Versace Eros Flame EDP 50ml,Eros Flame Eau de Parfum Spray,1316000,40%,2189000
134,[HSD 06/2024] Xịt Thơm Toàn Thân Bodymiss Hương Money Honey 35ml,,44000,44%,79000
135,Nước Hoa Nam Moschino Toy Boy EDP 100ml,,2255000,0%,2255000
136,Nước Hoa Nam Versace Pour Homme Dylan Blue EDT 100ml,Pour Homme Dylan Blue Eau De Toilette,1815000,25%,2420000
137,Nước Hoa Nữ Jean Paul Gaultier Scandal EDP 30ml,Scandal Eau De Parfum Spray,1890000,10%,2100000
138,Nước Hoa Nữ Chloé Nomade EDP 30ml,Eau De Parfum,1850000,18%,2250000
139,Nước Hoa Nữ Burberry Her Blossom EDT 100ml,Her Blossom Eau de Toilette,2703000,33%,4030000
140,[HSD 02/2025] Nước Hoa Nữ De Memoria EDP #07 Hoian 30ml,Eau De Parfum,319000,0%,319000
141,Nước Hoa Nữ Marc Jacobs Perfect EDP 100ml,Perfect Eau De Parfum,2589000,37%,4110000
142,Nước Hoa Nữ Chloé L'Eau Eau De Toilette 100ml,L'Eau Eau De Toilette,2835000,31%,4130000
143,Nước Hoa Nữ Chloé Nomade EDP 75ml,Eau De Parfum,2932000,32%,4290000
144,Nước Hoa Nam Lacoste Match Point EDT 100ml,Match Point Eau de Toilette,1788000,40%,2970000
145,Nước Hoa Nữ Signorina Misteriosa 100ml,Signorina Misteriosa Eau de Parfum,1820000,22%,2330000
146,[HSD 06/2024] Xịt Thơm Toàn Thân Bodymiss Hương Blinded Love 35ml,,44000,44%,79000
147,[HSD 03/2025] Nước Hoa Nữ Chloé L'Eau Eau De Toilette 100ml,L'Eau Eau De Toilette,2268000,45%,4130000
148,Nước Hoa Nam Versace Man Eau Fraiche EDT 100ml,Eau Fraiche Eau De Toilette,1862000,19%,2299000
149,Nước Hoa Nữ Moschino Toy 2 EDP 100ml,Toy 2 Eau De Parfum,1540000,37%,2442000
150,Nước Hoa Nữ Burberry Her EDP 100ml,Her Eau De Parfum,2967000,41%,4990000
151,[HSD 06/2024] Xịt Thơm Toàn Thân Bodymiss Hương Care Free 35ml,,44000,44%,79000
152,Combo Nước Hoa 2 Đầu Silkygirl Hương 02 Love + 03 Joyful,EDP Duo Rollerball,212000,10%,236000
153,Nước Hoa Nữ Versace Yellow Diamond EDT 90ml,Yellow Diamond Eau De Toilette Natural Spray,1989000,26%,2706000
154,Nước Hoa Nam Versace Pour Homme Eau De Toilette 100ml,Pour Homme Eau De Toilette,1544000,35%,2376000
155,[HSD 02/2025] Nước Hoa Nữ Laura Anne Dynamic For Her 50ml (Xanh),Eau de Parfum,189000,37%,299000
156,[HSD 07/2024] Xịt Thơm Toàn Thân Bodymiss Hương Blinded Love 35ml,,44000,44%,79000
157,[HSD 02/2025] Nước Hoa Nam Nữ De Memoria EDP #09 Lampang 30ml,Eau De Parfum,333000,0%,333000
158,[HSD 06/2024] Xịt Thơm Toàn Thân Bodymiss Hương Funky Fresh 35ml,,44000,44%,79000
159,Nước Hoa Nữ Marc Jacobs Daisy Intense EDP 30ml,Daisy Intense Eau De Parfum,1264000,45%,2290000
160,Nước Hoa Nam Calvin Klein Euphoria For Men EDT 100ml,Euphoria For Men Eau de Toilette,1677000,40%,2780000
161,Combo Malissa Kiss Dưỡng Thể & Xịt Thơm Sweet Vanilla Cotton,,304000,10%,338000
162,[HSD 01/2025] Nước Hoa Nữ Marc Jacobs Daisy Intense EDP 4ml,Daisy Intense Eau De Parfum,203000,30%,290000
163,[Mini] Nước Hoa Nữ Burberry Her Blossom EDT 1.5ml,,68000,1%,69000
164,Nước Hoa Nữ Lancôme La Vie Est Belle Bản Giới Hạn OUI 50ml,La Vie Est Belle Oui L'eau De Parfum D'exception,2239000,17%,2700000
165,Nước Hoa Nữ Chloé Eau De Parfum 75ml,,2843000,34%,4290000
166,Combo Malissa Kiss Dưỡng Thể & Xịt Thơm Happy Sundae,,304000,10%,338000
167,[HSD 02/2025] Nước Hoa Nữ Laura Anne Mystic For Her 50ml (Xám),Eau de Parfum,156000,0%,156000
168,Nước Hoa Nam Mr.Burberry Indigo EDT 50ml,Indigo For Men EDT Spray,1509000,31%,2180000
169,[HSD 06/2024] Xịt Thơm Toàn Thân Bodymiss Hương Stop & Stare 35ml,,44000,44%,79000
170,[HSD 07/2024] Xịt Thơm Toàn Thân Bodymiss Hương Funky Fresh 35ml,,44000,44%,79000
171,Nước Hoa Nam Calvin Klein Free Eau De Toilette 50ml,Free EDT Spray,983000,48%,1880000
172,Nước Hoa Nam Versace Eros EDP 100ml,Eros Eau De Parfum Natural Spray,1930000,30%,2761000
173,Nước Hoa Nữ Versace Bright Crystal EDT 90ml,Bright Crystal Eau De Toilette,1488000,46%,2760000
174,Nước Hoa Nam Gota Bouncy Eau de Parfum 50ml,Bouncy Perfume For Men Eau de Parfum,148000,50%,296000
175,Nước Hoa Nữ Salvatore Ferragamo Signorina Ribelle EDP 100ml,,1800000,44%,3223000
176,Xịt Thơm Toàn Thân Kiss My Body Adore You 88ml,Perfume Mist,168000,1%,169000
177,[HSD 07/2024] Xịt Thơm Toàn Thân Và Tóc Silkygirl Hương Magic Dream 50ml,Fragrance Mist Hair And Body #Magic Dream,45000,55%,99000
178,Xịt Nước Hoa Hằng Ngày X-Men Hương Tươi Mát 50ml,Everyday Perfume Mann Up Air,99000,6%,105000
179,Nước Hoa Nữ Narciso Rodriguez Pure Musc For Her EDP 50ml,Eau De Parfum,2610000,10%,2900000
180,Nước Hoa Nữ Versace Pour Femme Dylan Blue EDP 100ml,Pour Femme Dylan Blue Eau De Parfum Spray,2152000,35%,3311000
181,[HSD 07/2024] Nước Hoa Nữ Trussardi Sound Of Donna EDP 100ml,Sound Of Donna Eau De Parfum Spray,726000,70%,2420000
182,Nước Hoa Vùng Kín Nam Loli & The Wolf Dark Monster 10ml,Hương Gỗ Tuyết Tùng Nam Tính Cuốn Hút,248000,17%,300000
183,Xịt Thơm Toàn Thân Kiss My Body Sweet Poison 88ml,Perfume Mist,168000,1%,169000
184,Xịt Thơm Toàn Thân Bodymiss Hương Blinded Love 105ml,,106000,32%,156000
185,[HSD 12/2024] Xịt Thơm Toàn Thân Malissa Kiss Hương Happy Sundae 88ml,Perfume Mist,77000,54%,169000
