sothutu,Tên_Sản_Phẩm,Thương_Hiệu,Giá_Bán,Giá_Gốc,Dung_Tich,Phần_Trăm_Giảm
180,Nước Hoa Nữ Versace Pour Femme Dylan Blue EDP,Pour Femme Dylan Blue Eau De Parfum Spray,2152000,3311000,100ml,35
181,[HSD 07/2024] Nước Hoa Nữ Trussardi Sound Of Donna EDP,Sound Of Donna Eau De Parfum Spray,726000,2420000,100ml,70
182,Nước Hoa Vùng Kín Nam Loli & The Wolf Dark Monster,Hương Gỗ Tuyết Tùng Nam Tính Cuốn Hút,248000,300000,10ml,17
183,Xịt Thơm Toàn Thân Kiss My Body Sweet Poison,Perfume Mist,168000,169000,88ml,1
184,Xịt Thơm Toàn Thân Bodymiss Hương Blinded Love,,106000,156000,105ml,32
185,[HSD 12/2024] Xịt Thơm Toàn Thân Malissa Kiss Hương Happy Sundae,Perfume Mist,77000,169000,88ml,54
186,[HSD 11/2024] Xịt Thơm Toàn Thân Và Tóc Silkygirl Hương Floral Blush,Fragrance Mist Hair And Body #Floral Blush,44000,99000,50ml,56
187,[HSD 01/2025] Xịt Thơm Toàn Thân Malissa Kiss Hương Cozy Beach,Perfume Mist,77000,169000,88ml,54
188,[HSD 10/2024] Xịt Thơm Toàn Thân Và Tóc Silkygirl Hương Love Bloom,Fragrance Mist Hair And Body #Love Bloom,79000,99000,50ml,20
189,Nước Hoa Nữ Marc Jacobs Daisy EDT,Daisy Eau De Toilette,2249000,3570000,100ml,37
190,Xịt Thơm Toàn Thân Kiss My Body Hottie,Perfume Mist,168000,169000,88ml,1
191,Nước hoa Dolce&Gabbana The One Gold Pour Homme EDP Intense,Dolce & Gabbana,4032000,4200000,100ml,4
192,Nước hoa Dolce&Gabbana K Pour Homme EDP Intense,Dolce & Gabbana,3628000,3780000,100ml,4
193,Nước hoa Dolce & Gabbana Intenso Pour Homme EDP,Dolce & Gabbana,2736000,2850000,100ml,4
194,Nước hoa YSL La Nuit de L’Homme EDT,Yves Saint Laurent,4051000,4220000,100ml,4
195,Narciso Rodriguez Vetiver Musc For Him EDT,Narciso Rodriguez,2593000,2730000,100ml,5
196,Nước hoa YSL Y Le Parfum EDP,Yves Saint Laurent,5241000,5460000,100ml,4
197,Nước hoa Mcm Onyx EDP,MCM,2014000,2190000,100ml,8
198,Nước hoa JPG LE MALE ELIXIR 23 EDP,Jean Paul Gaultier,3667000,3860000,100ml,5
199,Nước hoa L'HOMME LE PARFUM EDP,Yves Saint Laurent,4617000,4810000,100ml,4
