name,brand,pricenew,sale,priceold
Nước hoa My Burberry EDT Perfume (90ml) For Women,sephora,"1,550,000",0%,"1,550,000"
Nước hoa Daisy by Marc Jacobs EDT 50ml,sephora,"1,490,000",0%,"1,490,000"
GUERLAIN Ladies La Petite Robe Noire Ma Robe Plissee EDT 100 ml,Jomashop.com,"1,241,000",0%,"1,241,000"
Nước hoa Jimmy Choo Blossom EDP 60ml,sephora,"1,250,000",0%,"1,250,000"
NƯỚC HOA NỮ CHLOE BY CHLOE EDT 75ML,sephora,"1,900,000",0%,"1,900,000"
Nước hoa Hermes Un Jardin Sur Le Nil EDT 50ml,sephora,"1,950,000",0%,"1,950,000"
NƯỚC HOA NỮ PINK SUGAR BY AQUOLINA EDT 100ML,sephora,"750,000",0%,"750,000"
NƯỚC HOA NỮ COACH BY COACH EDP 90ML,Walmart,"1,350,000",0%,"1,350,000"
Marc Jacobs Decadence EDP 50ML,sephora,"1,350,000",0%,"1,350,000"
Nước hoa nữ Versace Yellow Diamond EDT 90ml,Jomashop.com,"1,550,000",0%,"1,550,000"
Narciso Rodriguez by Narciso Rodriguez EDP 100ml,Jomashop.com,"2,450,000",0%,"2,450,000"
Nước hoa Burberry Brit Perfume 100ml,Walmart,"1,311,000",0%,"1,311,000"
Nước hoa Moschino Toy 2 100ml,sephora,"1,635,000",0%,"1,635,000"
Nước hoa nữ Gucci Bamboo EDT 75ml,Jomashop.com,"2,300,000",0%,"2,300,000"
Nước hoa Tommy Hilfiger Tommy Girl 100ml,Amazon,"990,000",0%,"990,000"
Nước hoa unisex Maison Margiela Replica By the Fireplace EDT 100ml,sephora,"3,100,000",0%,"3,100,000"
